to,1970
you,1494
I,1351
a,1242
the,1104
and,798
in,740
is,729
i,700
u,639
for,594
my,564
of,550
your,516
me,507
on,453
have,442
2,420
that,389
are,367
it,361
call,348
or,345
be,333
at,333
with,329
not,316
will,301
get,296
can,271
so,270
ur,268
U,267
I'm,263
but,260
&lt;#&gt;,255
You,246
4,235
from,228
up,227
do,225
just,225
.,224
if,224
when,210
like,209
this,208
go,207
know,206
we,205
all,194
out,192
got,188
now,180
was,176
come,174
am,171
?,168
...,153
Call,144
want,143
by,140
about,140
time,139
send,135
then,134
need,133
still,130
going,129
what,128
only,127
I'll,126
How,124
one,123
its,123
n,122
If,122
as,121
But,119
text,118
our,117
no,116
he,115
No,111
good,109
been,109
Just,108
love,107
see,106
Do,106
has,105
So,105
We,105
there,104
some,104
back,104
don't,104
r,103
&,103
any,102
think,101
how,100
tell,99
ü,98
an,97
day,97
Your,96
What,96
take,95
home,95
The,94
her,93
d,90
free,90
mobile,89
And,89
dont,89
A,88
me.,88
who,88
My,87
FREE,85
Ok,84
make,84
they,83
phone,83
new,83
-,82
&amp;,81
give,80
him,80
i'm,79
more,79
Have,79
later,79
she,78
now.,77
ask,76
you.,73
way,73
had,72
great,72
This,72
much,71
To,71
Are,71
Can,70
should,69
claim,69
reply,69
txt,68
say,68
Good,68
here,67
really,67
Hey,67
after,67
da,67
week,65
Txt,65
meet,65
every,64
Its,64
lor.,63
them,63
e,63
would,62
number,61
miss,61
too,61
very,60
said,60
pick,60
right,59
doing,59
contact,59
ok,59
night,58
Pls,58
stop,58
1,58
Please,57
work,57
find,57
Hi,57
it.,56
Oh,55
It,55
Then,55
next,54
could,54
!,54
keep,54
message,53
last,53
gonna,53
Not,53
:),52
where,52
sent,52
cos,52
Ur,52
sure,51
per,51
hope,51
now!,51
can't,50
around,50
He,50
did,50
lor...,50
Is,49
were,49
please,49
many,48
told,48
it's,48
before,48
b,48
Sorry,47
us,47
went,47
wan,47
tomorrow,47
feel,47
cant,47
cash,47
Did,47
buy,47
Ü,47
let,46
his,46
even,46
Reply,46
day.,46
3,45
anything,45
Nokia,45
"Sorry,",45
today,45
dun,45
STOP,44
When,44
place,44
other,44
down,43
msg,43
which,43
why,43
Happy,42
Dear,42
wait,42
Lol,42
something,42
Hope,42
getting,42
service,41
leave,41
always,41
care,41
over,41
Yeah,41
already,41
Text,40
being,40
For,40
It's,40
first,40
off,39
I've,39
won,39
Where,39
She,39
someone,39
c,39
things,38
also,38
Gud,38
Get,38
R,38
thing,38
coming,38
waiting,38
Thanks,37
try,37
thk,37
win,37
prize,36
people,36
you're,36
sleep,36
dear,36
awarded,36
use,36
few,36
life,35
Or,35
having,35
didn't,35
than,35
x,35
Free,35
im,35
money,35
late,35
happy,34
That,34
trying,34
well,34
Well,33
finish,33
Dont,33
