to,275
you,238
I,177
a,175
the,153
in,116
is,107
and,106
u,89
i,84
me,82
my,80
of,72
your,72
for,70
on,66
have,62
that,57
it,52
or,52
at,52
not,48
2,47
get,47
call,46
with,46
are,46
be,44
but,43
ur,40
if,39
I'm,37
when,37
U,35
know,34
this,33
?,33
from,32
was,32
You,32
do,31
can,31
go,31
just,30
so,30
will,30
got,29
4,29
up,28
...,27
like,27
one,26
come,26
we,26
out,26
&lt;#&gt;,25
now,25
.,23
send,23
then,22
text,22
am,22
all,22
n,21
how,20
ham,20
ü,20
still,20
I'll,20
But,20
don't,20
want,19
its,19
need,19
what,18
So,18
think,18
The,18
FREE,18
time,17
take,17
How,17
Ok,17
some,17
about,17
no,16
as,16
back,16
he,16
good,15
-,15
Do,15
Call,15
her,15
there,15
our,15
home,15
make,14
Are,14
who,14
more,14
Just,14
going,14
dont,14
And,14
Ur,14
lor.,13
new,13
them,13
Its,13
now.,13
Your,13
way,13
love,13
r,13
say,13
Good,13
only,13
Hey,13
an,13
number,13
ask,13
give,12
by,12
something,12
:),12
any,12
see,12
No,12
very,12
great,12
day,12
been,12
she,12
i'm,11
contact,11
phone,11
We,11
can't,11
To,11
It,11
you.,11
What,11
really,11
If,11
Oh,11
next,11
getting,11
This,10
A,10
they,10
Please,10
too,10
My,10
When,10
claim,10
3,10
&,10
him,10
Did,10
Lol,10
&amp;,10
even,9
free,9
said,9
pick,9
had,9
down,9
tell,9
today,9
Ü,9
where,9
being,9
ok,9
miss,9
sent,9
let,9
could,9
it's,9
off,9
doing,9
told,8
here,8
Will,8
Only,8
da,8
cos,8
Nokia,8
dear,8
1,8
message,8
without,8
around,8
always,8
much,8
ok.,8
it.,8
someone,8
mobile,8
Pls,8
last,8
also,8
stop,8
Get,8
Have,8
every,7
enjoy,7
me.,7
ever,7
care,7
Text,7
day.,7
Then,7
has,7
night,7
Hi,7
did,7
leave,7
reply,7
msg,7
after,7
Love,7
were,7
cash,7
many,7
money,7
juz,7
Txt,7
hope,7
please,7
HAVE,7
that's,7
e,7
Not,7
find,7
win,7
job,7
sleep,6
cant,6
first,6
over,6
before,6
finish,6
already,6
tot,6
haf,6
life,6
16+,6
right,6
wat,6
car,6
